"osm_id","access","addr:housename","addr:housenumber","addr:interpolation","admin_level","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","capital","construction","covered","culvert","cutting","denomination","disused","ele","embankment","foot","generator:source","harbour","highway","historic","horse","intermittent","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","office","oneway","operator","place","population","power","power_source","public_transport","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower:type","tunnel","water","waterway","wetland","width","wood","z_order","way"
8953451388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365861.460414859 5010625.4637885485)
8957444052,,,,,,pylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365559.873650402 5009675.6318235705)
8957444053,,,,,,pylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365662.18739439 5009633.148881714)
8957444054,,,,,,pylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365763.165304489 5009591.241211833)
8957444055,,,,,,pylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365863.6534088273 5009549.525417184)
434791908,,,,,,pylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365959.1877958262 5009509.874196759)
8957444056,,,,,,pylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2366092.5040180003 5009507.6181076355)
8953451429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2366284.5746674156 5009597.670385213)
8957444057,,,,,,pylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2366219.1299387775 5009505.494730116)
8957444058,,,,,,pylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2366372.0606552293 5009502.914237224)
